YearMade,WallType,RoofType,NumOfBedrooms,StovenFuelType,HeatingEquipmentType,HeatingEquipmentAge,NumOfRoomsHeated,FuelUsedForWaterHeating,WaterHeaterSize,AirConditioning,NumOfRoomsCooled,NumOfWindows,TotalSquareHeated,TotalSquareCooled,ElectricityConsumption,HeatingEquipmentAge_num
2003,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,41,2590,2590,20078,7
1965,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Large,True,6,41,1570,1570,27644,12
1978,Siding,Composition Shingles,2,Electricity,Heat Pump,5-9 Years old,6,Electricity,Large,True,6,30,1692,1692,10822,7
1965,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,2-4 Years old,7,Electricity,Small,True,7,41,1778,1778,12926,3
1987,Wood,Composition Shingles,2,Electricity,Heat Pump,2-4 Years old,6,Electricity,Medium,True,6,30,3007,3007,13181,3
2004,Concrete,Asphalt,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Medium,True,6,30,1922,1922,19427,7
1966,Concrete,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,7,Electricity,Medium,True,7,41,1848,1848,19697,7
1975,Brick,Unknown,2,Electricity,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Medium,True,6,30,1753,1753,4922,22
1986,Siding,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,>20 Years old,4,Natural Gas,Small,True,4,41,1684,1284,8957,22
1971,Siding,Composition Shingles,2,Electricity,Central Warm-Air Furnace,<2 Years old,3,Natural Gas,Small,True,3,30,702,702,4284,1
1957,Siding,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,5-9 Years old,9,Natural Gas,Small,True,5,42,1855,824,11628,7
1982,Brick,Asphalt,3,Electricity,Central Warm-Air Furnace,5-9 Years old,3,Electricity,Large,True,2,41,1045,697,9285,7
1957,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Medium,True,7,41,1280,1280,12016,12
2002,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Medium,True,4,41,1680,1120,27600,7
1965,Brick,Asphalt,3,Electricity,Heat Pump,5-9 Years old,7,Electricity,Large,True,7,50,1925,1925,16254,7
1968,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,41,2920,2920,7265,22
1972,Siding,Asphalt,2,Electricity,Central Warm-Air Furnace,>20 Years old,4,Natural Gas,Large,True,4,41,1264,1264,2943,22
1979,Stucco,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,41,2550,1275,7366,12
2000,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Medium,True,6,42,1392,1392,18609,7
1988,Brick,Metal,3,Electricity,Central Warm-Air Furnace,5-9 Years old,7,Electricity,Medium,True,7,30,1151,1151,12810,7
